ID,Name,Lat,Lng,LineID
48,Tlatelolco,19.45520174,-99.1430819,Linea 3
49,Guerrero,19.44475133,-99.14501309,"Linea 3, Linea B"
50,Juárez,19.43336942,-99.14771676,Linea 3
51,Niños Héroes,19.41946724,-99.15023804,Linea 3
52,Hospital General,19.41369961,-99.1531992,Linea 3
53,Centro Médico,19.40749665,-99.15531278,"Linea 3, Linea 9"
54,Etiopía / Plaza de la Transparencia,19.39604129,-99.15617108,Linea 3
55,Eugenia,19.38628539,-99.15724397,Linea 3
56,División del Norte,19.3789276,-99.15950775,Linea 3
57,Zapata,19.37073951,-99.1645503,"Linea 3, Linea 12"
58,Coyoacán,19.36142746,-99.17056918,Linea 3
59,Viveros / Derechos Humanos,19.35376487,-99.17542934,Linea 3
60,Miguel Ángel de Quevedo,19.34651696,-99.18053627,Linea 3
61,Copilco,19.33597857,-99.17657733,Linea 3
62,Universidad,19.32433595,-99.17407751,Linea 3
63,Martín Carrera,19.4837675,-99.10599232,"Linea 4, Linea 6"
64,Talismán,19.47415847,-99.10779476,Linea 4
65,Bondojito,19.46450842,-99.1117537,Linea 4
66,Consulado,19.45682033,-99.11388874,"Linea 4, Linea 5"
67,Canal del Norte,19.44866652,-99.11589503,Linea 4
68,Morelos,19.43973327,-99.11790133,"Linea 4, Linea B"
69,Fray Servando,19.42149092,-99.12033677,Linea 4
70,Jamaica,19.41014786,-99.12203193,"Linea 4, Linea 9"
71,Santa Anita,19.40425847,-99.12120581,"Linea 4, Linea 8"
72,Hangares,19.423251,-99.087095,Linea 5
73,Terminal Aérea,19.43380448,-99.08820391,Linea 5
74,Oceanía,19.44542916,-99.08690572,"Linea 5, Linea B"
75,Aragón,19.45101356,-99.09598231,Linea 5
76,Eduardo Molina,19.45112485,-99.10544515,Linea 5
77,Valle Gómez,19.45868169,-99.11988616,Linea 5
78,Misterios,19.46290002,-99.13051844,Linea 5
79,Autobuses del Norte,19.478595,-99.140471,Linea 5
80,Instituto del Petróleo,19.49054404,-99.14638638,"Linea 5, Linea 6"
81,Politécnico,19.499964,-99.148806,Linea 5
82,El Rosario,19.50522896,-99.19948339,"Linea 6, Linea 7"
83,Tezozómoc,19.49448847,-99.19593215,Linea 6
84,Azcapotzalco,19.49067553,-99.18621182,Linea 6
85,Ferrería,19.49039233,-99.173702,Linea 6
86,Norte 45,19.48823803,-99.16249037,Linea 6
87,Vallejo,19.49031142,-99.15479779,Linea 6
88,Lindavista,19.4875806,-99.13434863,Linea 6
89,La Villa-Basílica,19.4814715,-99.11815882,Linea 6
90,Aquiles Serdán,19.489367,-99.194511,Linea 7
91,Camarones,19.47873042,-99.18894768,Linea 7
92,Refinería,19.46911098,-99.18985963,Linea 7
93,San Joaquín,19.44553033,-99.19160843,Linea 7
94,Polanco,19.43337954,-99.19079304,Linea 7
95,Auditorio,19.42530549,-99.19173717,Linea 7
96,Constituyentes,19.41129131,-99.19138312,Linea 7
97,San Pedro de los Pinos,19.39122414,-99.18572903,Linea 7
98,San Antonio,19.38481791,-99.18661952,Linea 7
99,Mixcoac,19.37625563,-99.18774605,"Linea 7, Linea 12"
100,Barranca del Muerto,19.3614882,-99.18895841,Linea 7
101,Garibaldi,19.443082,-99.139034,"Linea 8, Linea B"
102,San Juan de Letrán,19.43098165,-99.14116144,Linea 8
103,Doctores,19.42049932,-99.14335012,Linea 8
104,Obrera,19.41301153,-99.14392948,Linea 8
105,La Viga,19.406106,-99.125973,Linea 8
106,Coyuya,19.39769,-99.113413,Linea 8
107,Iztacalco,19.388092,-99.112086,Linea 8
108,Apatlaco,19.378298,-99.10934,Linea 8
109,Aculco,19.37292574,-99.10739779,Linea 8
110,Escuadrón 201,19.36449442,-99.10931826,Linea 8
111,Atlalilco,19.35570839,-99.10157204,"Linea 8, Linea 12"
112,Iztapalapa,19.35760127,-99.09341812,Linea 8
113,Cerro de la Estrella,19.355601,-99.085872,Linea 8
114,UAM-I,19.350327,-99.074808,Linea 8
115,Constitución de 1917,19.345135,-99.063367,Linea 8
116,Patriotismo,19.40559422,-99.1784656,Linea 9
117,Chilpancingo,19.40575613,-99.1683054,Linea 9
118,Lázaro Cárdenas,19.40702104,-99.14433718,Linea 9
119,Mixiuhca,19.40820499,-99.11285877,Linea 9
120,Velódromo,19.40811392,-99.10283804,Linea 9
121,Ciudad Deportiva,19.40811392,-99.09135818,Linea 9
122,Puebla,19.40697045,-99.08233523,Linea 9
123,Agrícola Oriental,19.40404596,-99.06982541,Linea A
124,Canal de San Juan,19.39821706,-99.05969739,Linea A
125,Tepalcates,19.39072824,-99.04651165,Linea A
126,Guelatao,19.38459525,-99.03579354,Linea A
127,Peñón Viejo,19.37291562,-99.0172863,Linea A
128,Acatitla,19.3642515,-99.00597811,Linea A
129,Santa Marta,19.359804,-98.995894,Linea A
130,Los Reyes,19.35877546,-98.97670984,Linea A
131,La Paz,19.35048513,-98.96061659,Linea A
132,Ciudad Azteca,19.53444312,-99.02711391,Linea B
133,Plaza Aragón,19.52822456,-99.02979612,Linea B
134,Olímpica,19.52084286,-99.03298259,Linea B
135,Ecatepec,19.51470467,-99.03568625,Linea B
136,Muzquiz,19.50096117,-99.04171586,Linea B
137,Río de los Remedios,19.49024062,-99.04635072,Linea B
138,Impulsora,19.484987,-99.048743,Linea B
139,Nezahualcóyotl,19.472534,-99.054375,Linea B
140,Villa de Aragón,19.4613523,-99.06114578,Linea B
141,Bosque de Aragón,19.45807473,-99.06927824,Linea B
142,Deportivo Oceanía,19.45077077,-99.07917023,Linea B
143,Romero Rubio,19.44048194,-99.09420133,Linea B
144,R. Flores Magón,19.43628327,-99.10342813,Linea B
145,Tepito,19.44256606,-99.12323356,Linea B
146,Lagunilla,19.44300109,-99.13107634,Linea B
147,Buenavista,19.44615757,-99.15289879,Linea B
148,Insurgentes Sur,19.37360387,-99.17859435,Linea 12
149,Hospital 20 de Noviembre,19.37192372,-99.17099833,Linea 12
150,Parque de los Venados,19.37046623,-99.15766239,Linea 12
151,Eje Central,19.36118453,-99.15133238,Linea 12
152,Mexicaltzingo,19.35744944,-99.12191391,Linea 12
153,Culhuacán,19.33887391,-99.10894275,Linea 12
154,San Andrés Tomatlán,19.3272315,-99.10259128,Linea 12
155,Lomas Estrella,19.322002,-99.096696,Linea 12
156,Calle 11,19.32025578,-99.08486724,Linea 12
157,Periférico Oriente,19.317492,-99.074719,Linea 12
158,Tezonco,19.306124,-99.065867,Linea 12
159,Olivos,19.30328601,-99.05831337,Linea 12
160,Nopalera,19.29939771,-99.04621124,Linea 12
161,Zapotitlán,19.29639028,-99.03402328,Linea 12
162,Tlaltenco,19.294555,-99.023829,Linea 12
163,Tláhuac,19.28680057,-99.01443243,Linea 12
